name,start_date,end_date,executive,council,council_website,id,email,image,party,source,ward
Jock Campbell,,,Deputy Mayor,Clarence City Council,http://www.ccc.tas.gov.au/,clarence_city_council/jock_campbell,ald_jcampbell@ccc.tas.gov.au,http://www.ccc.tas.gov.au/webdata/resources/contact/campbell.jpg,Independent,http://www.ccc.tas.gov.au/page.aspx?u=1150,
Doug Chipman,,,Mayor,Clarence City Council,http://www.ccc.tas.gov.au/,clarence_city_council/doug_chipman,mayor@ccc.tas.gov.au,http://www.ccc.tas.gov.au/webdata/resources/contact/chipman2.jpg,Independent,http://www.ccc.tas.gov.au/page.aspx?u=1148,
Heather Chong,,,,Clarence City Council,http://www.ccc.tas.gov.au/,clarence_city_council/heather_chong,ald_hchong@ccc.tas.gov.au,http://www.ccc.tas.gov.au/webdata/resources/contact/Ald_Chong_Colour_Web.jpg,Independent,http://www.ccc.tas.gov.au/page.aspx?u=1149,
Peter Cusick,,,,Clarence City Council,http://www.ccc.tas.gov.au/,clarence_city_council/peter_cusick,ald_pcusick@ccc.tas.gov.au,http://www.ccc.tas.gov.au/webdata/resources/contact/Ald.Cusick.jpg,Independent,http://www.ccc.tas.gov.au/page.aspx?u=1809,
Doug Doust,,,,Clarence City Council,http://www.ccc.tas.gov.au/,clarence_city_council/doug_doust,ald_ddoust@ccc.tas.gov.au,http://www.ccc.tas.gov.au/webdata/resources/contact/Ald_Doust_DSC0217.jpg,Independent,http://www.ccc.tas.gov.au/page.aspx?u=1610,
Daniel Hulme,,,,Clarence City Council,http://www.ccc.tas.gov.au/,clarence_city_council/daniel_hulme,ald_dhulme@ccc.tas.gov.au,http://www.ccc.tas.gov.au/webdata/resources/contact/Ald.Hulme.jpg,Independent,http://www.ccc.tas.gov.au/page.aspx?u=1810,
Richard James,,,,Clarence City Council,http://www.ccc.tas.gov.au/,clarence_city_council/richard_james,rjames@trump.net.au,http://www.ccc.tas.gov.au/webdata/resources/contact/james.jpg,Independent,http://www.ccc.tas.gov.au/page.aspx?u=1155,
Kay McFarlane,,,,Clarence City Council,http://www.ccc.tas.gov.au/,clarence_city_council/kay_mcfarlane,ald.kmcfarlane@gmail.com,http://www.ccc.tas.gov.au/webdata/resources/contact/mcfarlane1.jpg, Greens,http://www.ccc.tas.gov.au/page.aspx?u=1152,
Jonn Peers,,,,Clarence City Council,http://www.ccc.tas.gov.au/,clarence_city_council/jonn_peers,peersccc@netspace.net.au,http://www.ccc.tas.gov.au/webdata/resources/contact/peers.jpg,Independent,http://www.ccc.tas.gov.au/page.aspx?u=1151,
Debra Thurley,,,,Clarence City Council,http://www.ccc.tas.gov.au/,clarence_city_council/debra_thurley,ald_dthurley@ccc.tas.gov.au,http://www.ccc.tas.gov.au/webdata/resources/contact/Ald.Thurley2.jpg,Independent,http://www.ccc.tas.gov.au/thurley,
Sharyn Von Bertouch,,,,Clarence City Council,http://www.ccc.tas.gov.au/,clarence_city_council/sharyn_von_bertouch,ald_svonbertouch@ccc.tas.gov.au,http://www.ccc.tas.gov.au/webdata/resources/contact/Ald_von-Bertouch_Colour_Web.jpg,Independent,http://www.ccc.tas.gov.au/page.aspx?u=1156,
James Walker,,,,Clarence City Council,http://www.ccc.tas.gov.au/,clarence_city_council/james_walker,ald_jwalker@ccc.tas.gov.au,http://www.ccc.tas.gov.au/webdata/resources/contact/Ald_Walker.jpg,Independent,http://www.ccc.tas.gov.au/page.aspx?u=1633,
Paul Belcher,,,,Derwent Valley Council,http://www.derwentvalley.tas.gov.au/,derwent_valley_council/paul_belcher,,,,,
Damian Bester,,,,Derwent Valley Council,http://www.derwentvalley.tas.gov.au/,derwent_valley_council/damian_bester,,,,,
Martyn Evans,,,Mayor,Derwent Valley Council,http://www.derwentvalley.tas.gov.au/,derwent_valley_council/martyn_evans,,,,,
James Graham,,,,Derwent Valley Council,http://www.derwentvalley.tas.gov.au/,derwent_valley_council/james_graham,,,,,
Barry Lathey,,,,Derwent Valley Council,http://www.derwentvalley.tas.gov.au/,derwent_valley_council/barry_lathey,,,,,
Frank Pearce,,,,Derwent Valley Council,http://www.derwentvalley.tas.gov.au/,derwent_valley_council/frank_pearce,,,,,
Ben Shaw,,,Deputy Mayor,Derwent Valley Council,http://www.derwentvalley.tas.gov.au/,derwent_valley_council/ben_shaw,,,,,
Julie Triffett,,,,Derwent Valley Council,http://www.derwentvalley.tas.gov.au/,derwent_valley_council/julie_triffett,,,,,
Charlie Emmerton,,,,Devonport City Council,http://www.devonport.tas.gov.au/,devonport_city_council/charlie_emmerton,,,,,
Grant Goodwin,,,,Devonport City Council,http://www.devonport.tas.gov.au/,devonport_city_council/grant_goodwin,,,,,
Alison Jarman,,,,Devonport City Council,http://www.devonport.tas.gov.au/,devonport_city_council/alison_jarman,,,,,
Justine Keay,,,,Devonport City Council,http://www.devonport.tas.gov.au/,devonport_city_council/justine_keay,,,,,
Lynn Laycock,,,,Devonport City Council,http://www.devonport.tas.gov.au/,devonport_city_council/lynn_laycock,,,,,
Jeff Matthews,,,,Devonport City Council,http://www.devonport.tas.gov.au/,devonport_city_council/jeff_matthews,,,,,
Steve Martin,,,Mayor,Devonport City Council,http://www.devonport.tas.gov.au/,devonport_city_council/steve_martin,,,,,
Leon Perry,,,,Devonport City Council,http://www.devonport.tas.gov.au/,devonport_city_council/leon_perry,,,,,
Annette Rockliff,,,Deputy Mayor,Devonport City Council,http://www.devonport.tas.gov.au/,devonport_city_council/annette_rockliff,,,,,
Lawrence Archer,,,,Dorset Council,http://www.dorset.tas.gov.au/,dorset_council/lawrence_archer,,,,,
Steven Arnold,,,,Dorset Council,http://www.dorset.tas.gov.au/,dorset_council/steven_arnold,,,,,
Maxwell Hall,,,,Dorset Council,http://www.dorset.tas.gov.au/,dorset_council/maxwell_hall,,,,,
Greg Howard,,,Mayor,Dorset Council,http://www.dorset.tas.gov.au/,dorset_council/greg_howard,,,,,
Dale Jessup,,,,Dorset Council,http://www.dorset.tas.gov.au/,dorset_council/dale_jessup,,,,,
Sheryl Martin,,,,Dorset Council,http://www.dorset.tas.gov.au/,dorset_council/sheryl_martin,,,,,
Shaun Moore,,,,Dorset Council,http://www.dorset.tas.gov.au/,dorset_council/shaun_moore,,,,,
Leon Quilliam,,,,Dorset Council,http://www.dorset.tas.gov.au/,dorset_council/leon_quilliam,,,,,
Leonie Stein,,,,Dorset Council,http://www.dorset.tas.gov.au/,dorset_council/leonie_stein,,,,,
Marc Cobham,,,Deputy Mayor,Flinders Council,http://www.flinders.tas.gov.au/,flinders_council/marc_cobham,,,,,
Carol Cox,,,Mayor,Flinders Council,http://www.flinders.tas.gov.au/,flinders_council/carol_cox,,,,,
Chris Rhodes,,,,Flinders Council,http://www.flinders.tas.gov.au/,flinders_council/chris_rhodes,,,,,
Peter Rhodes,,,,Flinders Council,http://www.flinders.tas.gov.au/,flinders_council/peter_rhodes,,,,,
Ken Stockton,,,,Flinders Council,http://www.flinders.tas.gov.au/,flinders_council/ken_stockton,,,,,
David Williams,,,,Flinders Council,http://www.flinders.tas.gov.au/,flinders_council/david_williams,,,,,
Gerald Willis,,,,Flinders Council,http://www.flinders.tas.gov.au/,flinders_council/gerald_willis,,,,,
Bridget Archer,,,Mayor,George Town Council,http://www.georgetown.tas.gov.au/,george_town_council/bridget_archer,,,,,
Heather Barwick,,,,George Town Council,http://www.georgetown.tas.gov.au/,george_town_council/heather_barwick,,,,,
Doug Burt,,,,George Town Council,http://www.georgetown.tas.gov.au/,george_town_council/doug_burt,,,,,
Greg Dawson,,,,George Town Council,http://www.georgetown.tas.gov.au/,george_town_council/greg_dawson,,,,,
John Glisson,,,,George Town Council,http://www.georgetown.tas.gov.au/,george_town_council/john_glisson,,,,,
Tim Harris,,,Deputy Mayor,George Town Council,http://www.georgetown.tas.gov.au/,george_town_council/tim_harris,,,,,
Richard Nicholls,,,,George Town Council,http://www.georgetown.tas.gov.au/,george_town_council/richard_nicholls,,,,,
Tim Parish,,,,George Town Council,http://www.georgetown.tas.gov.au/,george_town_council/tim_parish,,,,,
Peter Parkes,,,,George Town Council,http://www.georgetown.tas.gov.au/,george_town_council/peter_parkes,,,,,
Cheryl Arnol,,,,Glamorgan-Spring Bay Council,http://www.gsbc.tas.gov.au/,glamorgan-spring_bay_council/cheryl_arnol,,,,,
Bertrand Cadart,,,,Glamorgan-Spring Bay Council,http://www.gsbc.tas.gov.au/,glamorgan-spring_bay_council/bertrand_cadart,,,,,
Jenifer Crawford,,,,Glamorgan-Spring Bay Council,http://www.gsbc.tas.gov.au/,glamorgan-spring_bay_council/jenifer_crawford,,,,,
Michael Kent,,,Mayor,Glamorgan-Spring Bay Council,http://www.gsbc.tas.gov.au/,glamorgan-spring_bay_council/michael_kent,,,,,
Greg Raspin,,,,Glamorgan-Spring Bay Council,http://www.gsbc.tas.gov.au/,glamorgan-spring_bay_council/greg_raspin,,,,,
Britt Steiner,,,,Glamorgan-Spring Bay Council,http://www.gsbc.tas.gov.au/,glamorgan-spring_bay_council/britt_steiner,,,,,
Debbie Wisby,,,,Glamorgan-Spring Bay Council,http://www.gsbc.tas.gov.au/,glamorgan-spring_bay_council/debbie_wisby,,,,,
Jenny Woods,,,,Glamorgan-Spring Bay Council,http://www.gsbc.tas.gov.au/,glamorgan-spring_bay_council/jenny_woods,,,,,
Jennifer Branch-Allen,,,,Glenorchy City Council,http://www.gcc.tas.gov.au/,glenorchy_city_council/jennifer_branch-allen,,,,,
Jan Dunsby,,,,Glenorchy City Council,http://www.gcc.tas.gov.au/,glenorchy_city_council/jan_dunsby,,,,,
Kristie Johnston,,,Mayor,Glenorchy City Council,http://www.gcc.tas.gov.au/,glenorchy_city_council/kristie_johnston,,,,,
Steven King,,,,Glenorchy City Council,http://www.gcc.tas.gov.au/,glenorchy_city_council/steven_king,,,,,
Christine Lucas,,,,Glenorchy City Council,http://www.gcc.tas.gov.au/,glenorchy_city_council/christine_lucas,,,,,
Haydyn Nielsen,,,,Glenorchy City Council,http://www.gcc.tas.gov.au/,glenorchy_city_council/haydyn_nielsen,,,,,
David Pearce,,,,Glenorchy City Council,http://www.gcc.tas.gov.au/,glenorchy_city_council/david_pearce,,,,,
Harry Quick,,,Deputy Mayor,Glenorchy City Council,http://www.gcc.tas.gov.au/,glenorchy_city_council/harry_quick,,,,,
Stuart Slade,,,,Glenorchy City Council,http://www.gcc.tas.gov.au/,glenorchy_city_council/stuart_slade,,,,,
Matt Stevenson,,,,Glenorchy City Council,http://www.gcc.tas.gov.au/,glenorchy_city_council/matt_stevenson,,,,,
Jeff Briscoe,,,,Hobart City Council,http://www.hobartcity.com.au/,hobart_city_council/jeff_briscoe,ald.briscoe@hobartcity.com.au,https://www.hobartcity.com.au/files/assets/public/council-meetings-aldermen/aldermen-images-and-information/alderman-briscoe-cropped-custom.jpg?w=364,Independent,http://www.hobartcity.com.au/Council/Aldermen,
Helen Burnet,,,,Hobart City Council,http://www.hobartcity.com.au/,hobart_city_council/helen_burnet,ald.burnet@hobartcity.com.au,https://www.hobartcity.com.au/files/assets/public/council-meetings-aldermen/aldermen-images-and-information/burnet_2014-custom.jpg?w=364,Greens,http://www.hobartcity.com.au/Council/Aldermen,
Ron Christie,,,Deputy Mayor,Hobart City Council,http://www.hobartcity.com.au/,hobart_city_council/ron_christie,ald.christie@hobartcity.com.au,https://www.hobartcity.com.au/files/assets/public/council-meetings-aldermen/aldermen-images-and-information/r-christie-custom.jpg?w=364,Independent,http://www.hobartcity.com.au/Council/Aldermen,
Philip Cocker,,,,Hobart City Council,http://www.hobartcity.com.au/,hobart_city_council/philip_cocker,ald.cocker@hobartcity.com.au,https://www.hobartcity.com.au/files/assets/public/council-meetings-aldermen/aldermen-images-and-information/alderman_cocker_cropped_web_size.jpg?w=364,Greens,http://www.hobartcity.com.au/Council/Aldermen,
Bill Harvey,,,,Hobart City Council,http://www.hobartcity.com.au/,hobart_city_council/bill_harvey,ald.harvey@hobartcity.com.au,https://www.hobartcity.com.au/files/assets/public/council-meetings-aldermen/aldermen-images-and-information/bill-harvey-preferred-portrait-400x400-custom.jpg?w=364,Greens,http://www.hobartcity.com.au/Council/Aldermen,
Tanya Denison,,,,Hobart City Council,http://www.hobartcity.com.au/,hobart_city_council/tanya_denison,ald.denison@hobartcity.com.au,https://www.hobartcity.com.au/files/assets/public/council-meetings-aldermen/aldermen-images-and-information/bcards-custom.jpg?w=364,Independent,http://www.hobartcity.com.au/Council/Aldermen,
Sue Hickey,,,Lord Mayor,Hobart City Council,http://www.hobartcity.com.au/,hobart_city_council/sue_hickey,ald.hickey@hobartcity.com.au,https://www.hobartcity.com.au/files/assets/public/council-meetings-aldermen/aldermen-images-and-information/s-hickey.jpg?w=364,Independent,http://www.hobartcity.com.au/Council/Aldermen,
Anna Reynolds,,,,Hobart City Council,http://www.hobartcity.com.au/,hobart_city_council/anna_reynolds,ald.reynolds@hobartcity.com.au,https://www.hobartcity.com.au/files/assets/public/council-meetings-aldermen/aldermen-images-and-information/ald-reynolds-custom.jpg?w=364,Greens,http://www.hobartcity.com.au/Council/Aldermen,
Eva Ruzicka,,,,Hobart City Council,http://www.hobartcity.com.au/,hobart_city_council/eva_ruzicka,ald.ruzicka@hobartcity.com.au,https://www.hobartcity.com.au/files/assets/public/council-meetings-aldermen/aldermen-images-and-information/ald-eva-ruzicka-custom.jpg?w=364,Independent,http://www.hobartcity.com.au/Council/Aldermen,
Peter Sexton,,,,Hobart City Council,http://www.hobartcity.com.au/,hobart_city_council/peter_sexton,ald.sexton@hobartcity.com.au,https://www.hobartcity.com.au/files/assets/public/council-meetings-aldermen/aldermen-images-and-information/sexton_august-2014-custom.jpg?w=364,Independent,http://www.hobartcity.com.au/Council/Aldermen,
Damon Thomas,,,,Hobart City Council,http://www.hobartcity.com.au/,hobart_city_council/damon_thomas,ald.thomas@hobartcity.com.au,https://www.hobartcity.com.au/files/assets/public/council-meetings-aldermen/aldermen-images-and-information/thomas_2014-custom.jpg?w=364,Independent,http://www.hobartcity.com.au/Council/Aldermen,
Marti Zucco,,,,Hobart City Council,http://www.hobartcity.com.au/,hobart_city_council/marti_zucco,ald.zucco@hobartcity.com.au,https://www.hobartcity.com.au/files/assets/public/council-meetings-aldermen/aldermen-images-and-information/zucco-marti_sept-2014-custom.jpg?w=364,Independent,http://www.hobartcity.com.au/Council/Aldermen,
Peter Coad,,,Mayor,Huon Valley Council,http://www.huonvalley.tas.gov.au/,huon_valley_council/peter_coad,,http://www.huonvalley.tas.gov.au/wp-content/uploads/2014/12/Mayor-PETER-Coad-2014_Small-file-e1418076280362.jpg,Independent,http://www.huonvalley.tas.gov.au/council/members/,
Lydia Eastley,,,,Huon Valley Council,http://www.huonvalley.tas.gov.au/,huon_valley_council/lydia_eastley,,http://www.huonvalley.tas.gov.au/wp-content/uploads/2014/12/LYDIA-Eastley-2014_Small-file-200x300.jpg,Independent,http://www.huonvalley.tas.gov.au/council/members/,
Bruce Heron,,,,Huon Valley Council,http://www.huonvalley.tas.gov.au/,huon_valley_council/bruce_heron,,http://www.huonvalley.tas.gov.au/wp-content/uploads/2014/12/BRUCE-Heron-2014_Small-file-200x300.jpg,Independent,http://www.huonvalley.tas.gov.au/council/members/,
Ian Mackintosh,,,,Huon Valley Council,http://www.huonvalley.tas.gov.au/,huon_valley_council/ian_mackintosh,,http://www.huonvalley.tas.gov.au/wp-content/uploads/2014/09/Councillor-Mackintosh-400x369.jpg,Greens,http://www.huonvalley.tas.gov.au/council/members/,
Ian Paul,,,Deputy Mayor,Huon Valley Council,http://www.huonvalley.tas.gov.au/,huon_valley_council/ian_paul,,http://www.huonvalley.tas.gov.au/wp-content/uploads/2014/12/IAN-Paul-2014_Small-file-200x300.jpg,Independent,http://www.huonvalley.tas.gov.au/council/members/,
Pavel Ruzicka,,,,Huon Valley Council,http://www.huonvalley.tas.gov.au/,huon_valley_council/pavel_ruzicka,,http://www.huonvalley.tas.gov.au/wp-content/uploads/2014/12/PAVEL-Ruzicka-2014_Small-file-200x300.jpg,Independent,http://www.huonvalley.tas.gov.au/council/members/,
Liz Smith,,,,Huon Valley Council,http://www.huonvalley.tas.gov.au/,huon_valley_council/liz_smith,,http://www.huonvalley.tas.gov.au/wp-content/uploads/2014/12/LIZ-Smith-2014_Small-file-200x300.jpg,Independent,http://www.huonvalley.tas.gov.au/council/members/,
Ken Studley,,,,Huon Valley Council,http://www.huonvalley.tas.gov.au/,huon_valley_council/ken_studley,,,Independent,http://www.huonvalley.tas.gov.au/council/members/,
Mike Wilson,,,,Huon Valley Council,http://www.huonvalley.tas.gov.au/,huon_valley_council/mike_wilson,,http://www.huonvalley.tas.gov.au/wp-content/uploads/2014/12/MIKE-Wilson-2014_Small-file-200x300.jpg,Independent,http://www.huonvalley.tas.gov.au/council/members/,
Rodney Blenkhorn,,,,Kentish Council,http://www.kentish.tas.gov.au/,kentish_council/rodney_blenkhorn,,,,,
Linda Cassidy,,,,Kentish Council,http://www.kentish.tas.gov.au/,kentish_council/linda_cassidy,,,,,
Kate Haberle,,,,Kentish Council,http://www.kentish.tas.gov.au/,kentish_council/kate_haberle,,,,,
Terry Hughes,,,,Kentish Council,http://www.kentish.tas.gov.au/,kentish_council/terry_hughes,,,,,
Penny Lane,,,,Kentish Council,http://www.kentish.tas.gov.au/,kentish_council/penny_lane,,,,,
Phillip Richards,,,,Kentish Council,http://www.kentish.tas.gov.au/,kentish_council/phillip_richards,,,,,
Don Thwaites,,,Mayor,Kentish Council,http://www.kentish.tas.gov.au/,kentish_council/don_thwaites,,,,,
Annie Willcock,,,,Kentish Council,http://www.kentish.tas.gov.au/,kentish_council/annie_willcock,,,,,
Tim Wilson,,,Deputy Mayor,Kentish Council,http://www.kentish.tas.gov.au/,kentish_council/tim_wilson,,,,,
Jim Benn,,,,King Island Council,http://www.kingisland.tas.gov.au/,king_island_council/jim_benn,,,,,
David Bowling,,,,King Island Council,http://www.kingisland.tas.gov.au/,king_island_council/david_bowling,,,,,
Douglas Collins,,,,King Island Council,http://www.kingisland.tas.gov.au/,king_island_council/douglas_collins,,,,,
Royce Conley,,,,King Island Council,http://www.kingisland.tas.gov.au/,king_island_council/royce_conley,,,,,
Jim Cooper,,,Deputy Mayor,King Island Council,http://www.kingisland.tas.gov.au/,king_island_council/jim_cooper,,,,,
Sally Haneveer,,,,King Island Council,http://www.kingisland.tas.gov.au/,king_island_council/sally_haneveer,,,,,
Duncan McFie,,,Mayor,King Island Council,http://www.kingisland.tas.gov.au/,king_island_council/duncan_mcfie,,,,,
David Munday,,,,King Island Council,http://www.kingisland.tas.gov.au/,king_island_council/david_munday,,,,,
Kirsty Russell,,,,King Island Council,http://www.kingisland.tas.gov.au/,king_island_council/kirsty_russell,,,,,
Richard Atkinson,,,,Kingborough Council,http://www.kingborough.tas.gov.au/,kingborough_council/richard_atkinson,cr.richardatkinson@kingborough.tas.gov.au,http://www.kingborough.tas.gov.au/webdata/resources/contact/Atkinson.jpg,,http://www.kingborough.tas.gov.au/page.aspx?u=512&t=uList&ulistId=0&c=1050,
Sue Bastone,,,,Kingborough Council,http://www.kingborough.tas.gov.au/,kingborough_council/sue_bastone,cr.suebastone@kingborough.tas.gov.au,http://www.kingborough.tas.gov.au/webdata/resources/contact/Sue.jpg,,http://www.kingborough.tas.gov.au/page.aspx?u=512&t=uList&ulistId=0&c=18498,
Graham Bury,,,,Kingborough Council,http://www.kingborough.tas.gov.au/,kingborough_council/graham_bury,cr.grahambury@bigpond.com,http://www.kingborough.tas.gov.au/webdata/resources/contact/Mayor-Graham-Bury.jpg,,http://www.kingborough.tas.gov.au/page.aspx?u=512&t=uList&ulistId=0&c=292,
Flora Fox,,,,Kingborough Council,http://www.kingborough.tas.gov.au/,kingborough_council/flora_fox,cr.florafox@bigpond.com,http://www.kingborough.tas.gov.au/webdata/resources/contact/Cr-Flora-Fox.jpg,,http://www.kingborough.tas.gov.au/page.aspx?u=512&t=uList&ulistId=0&c=283,
David Grace,,,,Kingborough Council,http://www.kingborough.tas.gov.au/,kingborough_council/david_grace,cr.davidgrace@bigpond.com,http://www.kingborough.tas.gov.au/webdata/resources/contact/Cr-David-Grace.jpg,,http://www.kingborough.tas.gov.au/page.aspx?u=512&t=uList&ulistId=0&c=293,
Michael Percey,,,,Kingborough Council,http://www.kingborough.tas.gov.au/,kingborough_council/michael_percey,cr.mikepercey@kingborough.tas.gov.au,http://www.kingborough.tas.gov.au/webdata/resources/contact/Percey.jpg,,http://www.kingborough.tas.gov.au/page.aspx?u=512&t=uList&ulistId=0&c=282,
Paul Chatterton,,,,Kingborough Council,http://www.kingborough.tas.gov.au/,kingborough_council/paul_chatterton,cr.paulchatterton@bigpond.com,http://www.kingborough.tas.gov.au/webdata/resources/contact/Chatterton%20(web).jpg,,http://www.kingborough.tas.gov.au/page.aspx?u=512&t=uList&ulistId=0&c=19722,
Steve Wass,,,Mayor,Kingborough Council,http://www.kingborough.tas.gov.au/,kingborough_council/steve_wass,stevewass@hotmail.com,http://www.kingborough.tas.gov.au/webdata/resources/contact/Cr-Steve-Wass.jpg,,http://www.kingborough.tas.gov.au/page.aspx?u=512&t=uList&ulistId=0&c=286,
Dean Winter,,,,Kingborough Council,http://www.kingborough.tas.gov.au/,kingborough_council/dean_winter,cr.deanwinter@kingborough.tas.gov.au,http://www.kingborough.tas.gov.au/webdata/resources/contact/Cr%20Dean%20Winter%20New.jpg,,http://www.kingborough.tas.gov.au/page.aspx?u=512&t=uList&ulistId=0&c=289,
